x1,x2,objective_val
00101100010,01010101100,0.032
00101100110,01010101100,0.018
00101100110,01010101000,0.024
00111100111,01111010111,-1.365
00010101111,00111010111,-0.741
01110101111,01110111000,-1.987
01110111111,01010100011,-1.127
01110111111,01010001011,-0.998
01110111111,01010001011,-0.998
01011000001,11110001011,-0.121
01101011011,11110000010,-22.458
01111011011,11110000010,-1.746
01011011011,11100000000,-0.088
01011011011,10100001000,-0.219
01111011011,11101000001,-1.662
01111011010,11101000001,-1.631
10110010011,10101000001,-6.417
01111011110,10101001011,-1.874
10110010011,11101001000,-0.257
00110011011,11101001010,-0.113
00111011111,11101001001,0.182
01101011010,10101101010,0.136
01100001011,00000101001,-0.986
01110000110,10001101001,-0.691
01110000010,10000101001,-0.998
01010000010,10000101110,-0.144
01100001011,10011101000,-0.468
01111011010,10100101000,-1.761
00000100011,10101101000,0.087
10011011010,11101101000,-1.641
10011011010,11101101010,-1.574
10110000111,11100000110,0.017
10011010010,01100001110,-0.13
10111110011,10110011010,-0.057
10111110010,10110010010,-0.032
01010001111,11101001101,-0.451
01010001111,11101101001,-0.326
01010111110,11110100001,-0.147
01010111100,11111000111,-0.192
01010111100,11111000101,-0.189
11010111100,11001000100,-0.688
11010111100,11001001111,-0.876
11010111100,11001001111,-0.876
11000111000,10101001111,-0.033
10100110100,00101001111,-0.105
10100110100,00101001111,-0.105
11001010100,11001110010,0.007
11100110110,00001001000,-0.872
11001011100,01001010010,-0.001
10001110110,10001001000,0.048
10001110110,10011010000,-0.034
01000010110,10111010001,-0.061
10010010100,10111010100,-0.441
10000010100,10010111001,-1.461
10000010100,10001110100,-1.051
10000010110,00001110100,-0.649
01010110100,00001110000,-0.13
10100000110,00100111011,0.149
10100000100,00111010011,-0.25
11110000100,00111010011,-0.103
01010110010,00100010011,-0.123
01110010100,00110110001,-1.021
11000110010,10110110001,-0.098
01110011100,10000010111,-1.137
01110110010,10110010010,-1.335
11010110010,10110011101,-0.451
01110111110,10010011010,-1.735
01110010101,10110011010,-0.993
11010101011,00110010100,-1.354
11010101011,00010011100,-1.926
01100110101,11010011000,-2.376
01100111111,00011011010,-0.379
01000110100,11110011010,-2.324
01000110101,00010111100,-0.003
01000010100,11110111100,-2.173
01000110100,10110110011,0.001
01000111100,10111110011,-0.656
01000111100,10110101100,0.014
01000111100,11110101110,-1.148
11010011000,11011100000,0.394
11010011000,11000101100,-0.059
11001011111,00101101010,-0.002
11010011000,01001101010,-0.038
11001011111,00001101000,0.009
10011011000,00100001010,-1.619
10011011111,00000101000,-0.865
10111011000,01100111000,-0.025
11011011011,00101001010,-0.994
11000011011,00101001010,-1.023
11000010110,00101101000,-0.696
10000010111,01000011111,-1.366
10000010111,01001101010,-1.349
10000000011,01001101011,-1.644
11100001011,01001001011,0.512
11000001011,11001000011,-1.283
11000000011,11001000111,-1.529
11000000011,11001000111,-1.529
11101000011,11000000111,-4.141
10100110100,01011011111,-0.198
11101000111,01010100011,-0.9
11101000111,01010111110,-0.517
11101010111,01010011101,-0.606
01101010101,01010001001,-3.854
01101110110,00110001001,-1.835
01011010110,00011101000,-0.236
01011010111,00010000000,-0.757
00001010111,00010000000,-0.345
11100010100,01111001001,-20.878
10101010101,00010000000,-1.045
10100010110,01111001001,-0.046
10100110100,01110000010,-0.178
10101110100,00000011001,-0.411
11101010101,10110100010,0.126
01101010110,10110100010,-0.421
00111010110,10110100010,-0.3
11100111001,11110110001,-0.615
11101000110,00000110001,-0.887
11101001001,11110001111,-0.794
11101001001,11110001101,-0.825
11100100001,11110001101,-2.957
11100010100,00001101011,-0.893
10101110001,11110001100,-0.615
01100000000,11110001100,-0.835
01000000000,11001000111,-2.423
10001100000,11011000111,-0.075
10001010001,11011000111,-0.024
11010000000,11111000111,0.343
11010000000,11110011100,0.15
10000001011,11010010111,-1.825
10000011011,10000010111,-1.873
10000011000,11011011111,-0.712
10000001010,11011011110,-0.086
10000001010,11011111010,-1.457
10000001010,10011110111,-1.479
00000101010,10001001010,-0.093
00000011111,10111110111,0.461
00000011111,10111101111,0.559
11011101000,11000110100,-1.392
00000111111,10111001110,-0.039
10000101101,10111001010,-0.956
10000101101,00111001010,-24.515
11000101100,10100010110,0.313
11010101011,00101000010,-0.187
11000101001,00101000110,-0.649
10010101100,10010010010,-0.219
00010101011,10110010110,0.412
11010111100,10010000010,0.017
11011111100,10111000010,-0.002
10001111000,10111000111,-0.479
10001011000,10110010000,-1.207
11010101011,11010000110,-1.685
11010101011,10110010000,-0.992
11010011000,10010000111,-0.017
11010011011,10110010111,-1.008
11010010001,10111000001,0.012
11010010111,10111000001,0.012
11010010101,10111000001,0.012
11010011001,01110100001,0.043
11010011001,01010100100,0.314
11010001101,10111010011,0.11
11010001101,10011010101,-0.101
11000100111,01010110011,0.259
11011001111,00010110011,-0.315
11010100111,00010110011,-0.577
11010100111,00010110011,-0.577
11010100001,00010111010,-0.424
11010100001,00010101010,-1.116
11000100011,10010101010,-0.953
11000111001,01011000110,0.032
00010111001,00011001110,0.032
00010111001,10010111110,-0.145
00000111001,10011111110,-0.002
01001110001,10011111010,-0.886
11001111001,11011101110,0.181
11001111001,11010111010,-0.466
10000111111,10011001010,-0.86
10000111111,11000001111,-0.907
11000101101,11000000111,-1.208
11000101101,11000000111,-1.208
11000101100,11000000110,-1.329
01110101100,11000010010,-2.914
01110101100,10000010010,-1.213
00010100011,11110100110,-2.278
00010100011,11110101110,-2.933
01110111100,00000000010,-0.755
00110111100,00000000010,0.088
00110110011,01000000010,0.158
00110010000,00010000010,0.327
00110000000,11000100111,0.042
01110111010,10010100111,-2.504
01110101000,11010000010,-1.225
01110000010,10010100010,-1.006
00111000010,11010001110,-2.081
01111000010,11010001000,-1.375
01110111010,11110001000,-0.983
01111111110,11110100100,-1.556
01111101110,11110101001,-1.905
00110101111,11011100100,0.291
10110001111,11011100100,-0.187
11110011111,11011100000,0.125
01100011111,11110100000,-2.788
01100011111,01001000010,-0.296
01101110111,01001010010,-1.719
00001011111,01100100101,-30.619
00101110110,01001010100,-0.021
00001011011,01100100100,-2.289
00001011011,01100100100,-2.289
00101011000,01100100100,-0.135
00101011000,01110100000,-0.321
01101111101,01101011100,-0.581
01101011101,01111011100,-16.552
01100011010,11110111100,-7.434
01000010010,10110111100,-0.019
01001010010,11111001100,-0.311
01001010000,11111001100,-0.33
01001010010,11111001100,-0.311
11001010010,01111001100,-0.044
11001010010,01110011011,-0.092
11001010010,01110011010,-0.093
11000111100,10111010101,0.642
11000101100,10110111011,-0.04
01001011100,10111010000,-0.199
01000100100,10111010000,-0.084
11101100100,10111010000,-0.23
11001101100,10011011000,-0.079
10001101000,10011011000,-0.145
10001101000,10011011000,-0.145
10001100011,01111011100,-2.481
10001100010,01111011100,-2.434
10000101010,01111011100,-1.419
00010100010,00111111100,-0.161
11010100010,01111110111,-0.72
11010000011,00111101111,2.535
10010000011,00111110001,-0.323
01100101001,00111110000,-0.541
10110000010,00111101111,-0.413
11110000001,00111100000,-0.118
01110001001,00111101110,-0.711
01110100111,10110101000,-1.179
01111100101,10110101000,-2.004
10110001000,00111101000,-0.514
01101100100,10110101000,-0.549
01101100100,10101111000,-0.23
01100101100,10010001100,-0.295
01110001110,10010101100,-1.359
01110001100,00010111001,-0.898
01110100100,00101001000,-2.2
01100000100,00101001000,0.102
01101100100,00101101000,-7.683
01111100100,00100111011,-1.982
01111110100,00101110011,-1.822
11010110100,00101110011,-0.913
11010010000,10100111000,0.434
01000010100,10110101000,-0.066
11011111000,00001110010,-1.376
01010010111,10011100010,-0.285
01010010111,10100001100,-0.177
11011111000,00011000100,-0.038
11011110001,00100001100,-0.246
11011110001,00100001000,-0.206
01011011101,10100011010,-0.327
11011110000,00100011010,-0.408
01011110000,00001010000,-0.905
11011110000,00001010000,-7.379
11101011100,00001010000,-0.203
11101001100,00000011010,-1.15
01011101101,11101011000,-0.169
11101011101,11101011000,-1.133
00011101111,01101001000,-0.007
11110100111,01100110010,-0.482
10000011101,00011110010,-1.068
10000010101,00111110000,-0.162
10000011101,00110100010,-1.894
10000111101,00100101010,-0.935
10000111011,01111110000,-1.835
10000111010,01111110000,-1.816
10000111011,00100011010,-0.858
10000101011,00100011010,-0.954
00110101110,01111111010,-0.525
00110100111,01100011000,-60.115
00100100101,01111110111,-0.52
10100100101,01101110111,-0.11
